link,job title,location,team,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545057,Sr. Category Merchant Manager - EU Expansion,Luxembourg City- Luxembourg,Marketplace - LU,· BA/BS and 6+ years of work experience required.· Fluent in English.· A strong background (5+ years) in product or account management with related business experience.· Demonstrates strong analytics- strategy development and project leadership skills.· Ability to bring innovative ideas and work hard to implement them through collaboration with multiple teams.· Broad commercial awareness developed in a fast-moving environment.· Proven experience in negotiating and managing multiple sales/buying accounts simultaneously.· Strong analytical and quantitative skills (includes ability to use tools such as Excel and Access), ability to use hard data and metrics to back up assumptions and recommendations.,· Turkish language skills· Ability to thrive in a fast-paced environment and experience delivering multiple competing projects simultaneously- taking ownership and driving results end to end.· Ability to think both strategically and tactically, a relentless focus on customers.· Exceptional interpersonal- influencing- and communication skills (written and verbal).· Technical aptitude and agility to learn web-based tools and knowledge of SQL a plus.· Experience in consulting- e-commerce- tech and/or retail/consumer products industries a plus.· Proven record of accomplishment of owning P&Ls and driving results.· MBA or other applicable advanced degree.The position is based in Amazon’s EU Headquarters in the city of Luxembourg. However once in Luxembourg relocation may be required. The Grand Duchy of Luxembourg is a diverse and multicultural country located in the heart of Europe- bordered by France- Belgium and Germany.The successful candidate will be an analytically driven team player who is motivated by an entrepreneurial- fast-paced and highly collaborative environment.All offers are contingent on the successful completion of a background check.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover- invent- simplify and build.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies’ world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545055,Sales Manager III,Luxembourg City- Luxembourg,Marketplace - LU,· Fluency in English· Bachelor’s Degree in Economics- Engineering or related degree required. Post-graduate education is recommended.· 5-7 years of working experience in management consulting- product management or sales management· Track record in people management skills· Excellent written and verbal communication skills, able to explain complex concepts simply· Strong analytical skills (including advanced excel and database analysis)· Ability to drive successful projects with a wide range of people at all decision-making levels.· Experience solving analytical problems- either in professional experience (data analysis) or education· Ability to thrive in an ambiguous environment· Highly organised and results oriented,· Turkish language skills· High level of academic achievement at degree level. MBA is from top tier institute is highly preferred· Ability to work with legal- product- and internal business owners to reach mutually beneficial agreements· Strong business judgment- proven ability to influence others· Experience using Salesforce.com or other CRM tool· Creative- has initiative- and can constructively advocate on behalf of the customer· Experience in retail and/or a technology / eCommerce business preferred but not essentialThe position is based in Amazon’s EU Headquarters in the city of Luxembourg. However once in Luxembourg relocation may be required. The Grand Duchy of Luxembourg is a diverse and multicultural country located in the heart of Europe- bordered by France- Belgium and Germany.The successful candidate will be an analytically driven team player who is motivated by an entrepreneurial- fast-paced and highly collaborative environment.All offers are contingent on the successful completion of a background check.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover- invent- simplify and build.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies’ world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545048,Account Representative I,Luxembourg City- Luxembourg,Marketplace - LU,· Fluency in English· Bachelor’s Degree in Economics- Engineering or related degree required· 1 to 4 years work experience· Demonstrated track record of success in account management- product marketing or management consulting roles.· Excellent written and verbal communication skills, able to explain complex concepts simply· Interested in new technologies- capable internet user· Advanced computer skills (Excel- Word- Outlook- PowerPoint).· Ability to work with wide range of people at all decision-making levels.· Experience solving analytical problems- either in professional experience (data analysis) or education· Ability to thrive in an ambiguous environment,· Turkish language skills· Experience in outbound sales would be an advantage but is not essential.· Experience with e-commerce or retail would be an advantage.· Ability to work with legal- product- and internal business owners to reach mutually beneficial agreements· Sound business judgment- proven ability to influence others· Experience using Salesforce.com or other CRM tool· Ability to prioritize and manage multiple responsibilities· Creative- has initiative- and can constructively advocate on behalf of the customerThe position is based in Amazon’s EU Headquarters in the city of Luxembourg. However once in Luxembourg relocation may be required. The Grand Duchy of Luxembourg is a diverse and multicultural country located in the heart of Europe- bordered by France- Belgium and Germany.The successful candidate will be an analytically driven team player who is motivated by an entrepreneurial- fast-paced and highly collaborative environment.All offers are contingent on the successful completion of a background check.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover- invent- simplify and build.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies’ world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545038,Sr. Marketing Manager SSR - EU Expansion,Luxembourg City- Luxembourg,Marketplace - LU,· Bachelor’s degree in business- economics- mathematics- engineering- or computer science· Proven track record of translating user needs into product- digital marketing- or business requirements· 8+ years of experience in delivering complex cross-functional projects in a fast-paced work environment- in product- digital marketing- and/or business development· Strong analytical skills and bias toward data-based decision making to back up assumptions and evaluate outcomes· Excellent written and verbal communication skills with the ability to present complex information in a clear and concise manner· Ability to think creatively- deal with ambiguity- and manage change in a fast-paced environment· Experience managing stakeholder relationships cross-functionally and cross-geographically· Excellent interpersonal skills and proven ability to lead cross-functional project teams· Ability to juggle multiple priorities and have strong judgment to make trade offs and own program decisions· Strong curiosity and willingness to roll up the sleeves to learn and make things happen· Experience working in a global environment· Fluency in English,· Turkish language skills· MBA graduate from a top tier school or Master's degrees in Economics- Mathematics- Engineering- or Computer Science· Advanced SQL knowledge· Passion for customer experienceThe position is based in Amazon’s EU Headquarters in the city of Luxembourg. However once in Luxembourg relocation may be required. The Grand Duchy of Luxembourg is a diverse and multicultural country located in the heart of Europe- bordered by France- Belgium and Germany.The successful candidate will be an analytically driven team player who is motivated by an entrepreneurial- fast-paced and highly collaborative environment.All offers are contingent on the successful completion of a background check.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover- invent- simplify and build.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies’ world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/545036,Account Representative II,Luxembourg City- Luxembourg,Marketplace - LU,· Fluency in English· Bachelor’s Degree in Economics- Engineering or related degree required· 3 to 6 years work experience· Strong track record of success in managing and growing large accounts- product marketing or management consulting roles.· Excellent written and verbal communication skills, able to explain complex concepts simply· Advanced computer skills (Excel- Word- Outlook- PowerPoint).· Ability to drive successful projects with a wide range of people at all decision-making levels.· Experience solving analytical problems- either in professional experience (data analysis) or education· Ability to thrive in an ambiguous environment· Ability to coach and mentor individuals,· Turkish language skills· Experience with e-commerce or retail would be an advantage.· Ability to work with legal- product- and internal business owners to reach mutually beneficial agreements· Strong business judgment- proven ability to influence others· Experience using Salesforce.com or other CRM tool· Experience in managing a team of Account ManagersThe position is based in Amazon’s EU Headquarters in the city of Luxembourg. However once in Luxembourg relocation may be required. The Grand Duchy of Luxembourg is a diverse and multicultural country located in the heart of Europe- bordered by France- Belgium and Germany.The successful candidate will be an analytically driven team player who is motivated by an entrepreneurial- fast-paced and highly collaborative environment.All offers are contingent on the successful completion of a background check.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover- invent- simplify and build.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies’ world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/544584,Recruiter ,Luxembourg City- Luxembourg,Human Resources - Fulfillment,You have a Bachelor's degree from an accredited university and relevant experience in recruiting. Right now you might be working in a corporate or search firm1- where you handle the entire recruitment process from sourcing candidates to recruiting. Moreover- you have experience in building effective hiring manager relationships as well as proven experience managing and prioritizing multiple searches- projects and candidate relationships. Moreover- you have:· Experience utilizing an Recruiting Management System (RMS) and Customer Relationship Management (CRM) for sourcing- tracking and managing candidates· Strong knowledge of MS Office- including Word- Excel (intermediate)- PowerPoint and Outlook· Fluency in written and spoken EnglishAs a person- you are customer-oriented and you have no problem engaging candidates at each stage of the recruiting process.,· Fluency in other European language(s) is considered a plus· Experience in the transportation and/or logistic area· Advanced Excel skillsAbout Amazon EU Operations & Talent AcquisitionIn Europe our Operations Network of Fulfilment Centers (warehouses) span from the Czech Republic and Poland to Italy- Spain and France to Germany and the UK. In Talent Acquisition- we pursue excellence. We keep a high hiring bar and drive initiatives in business intelligence- talent assessment- employer branding- learning and development- process improvement and much- much more.We look for people focused on delivering the highest quality service to internal and external customers- with professionalism and integrity. Our work environment is dynamic- fun and continually evolving. And you will have multiple opportunities to innovate and solve complex challenges.We are a company of builders who bring varying backgrounds- ideas- and points of view to invent on behalf of our customers. Our diverse perspectives come from many sources including gender- race- age- national origin- sexual orientation- culture- education- as well as professional and life experience. We are working to develop leaders and shape future talent pools to help us meet the needs of our customers around the world. We make recruiting decisions based on your experience and skills.Learn more at amazon.jobs/eu-talent-acquisition,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/544540,Project Manager - Amazon Flex,Luxembourg City- Luxembourg,,· Bachelors Degree· Experience in managing and implementing high complexity projects· Prior experience in a Technical Product/Project/Program role· Experience managing- negotiating- and communicating with internal/external business partners to meet organizational capacity needs· Proficiency in Excel· Excellent technical comprehension- and both verbal and written communication skills· The ability and desire to learn new systems- and find creative and scalable solutions to difficult problems· Highly organized- ability to complete a high volume of tasks and projects with little to no guidance and tight deadlines,· Master’s degree/MBA in business- operations- logistics- supply chain- or related field· PMP or other project management certification· Proficiency with MS Project· Experience in management within the Transport- Distribution or Logistics industry would be highly desirable,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/544311, Program Manager - Online Advertising,Luxembourg City- Luxembourg,Marketplace - LU,· Bachelor's Degree or equivalent experience.· Ability to succeed amidst ambiguity· Fluency in English required· 5 years of relevant work experience in Program management- process improvement and/or digital/high-technology companies/products· Technical ability in using SQL- and Excel- plus the ability to learn in-house tools quickly· Adept at working with different systems and making recommendations on imp· Strong communication skills: experience in coordinating teams and communicating to management· Proven ability to meet tight deadlines- multi-task- and prioritize workload improvements for both systems and processes.,· Previous experience in customer facing role such as account management or campaign management.· Previous examples of leveraging technology to invent- improve- and simplify.· Ability to work in cross-functional teams- communicate with colleagues in both business- design- and technical roles and develop process that drives efficiency.· Experience in online advertising.· Fluent in at least one other European language,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/544217,Sr. Manager- EU Business Operations- Alexa Skills,Luxembourg City- Luxembourg,Alexa Skills Team ,· 7+ years’ experience managing operations in a sales- logistics- distribution- or manufacturing environment.· Experience manipulating and analyzing complex data sets.· Experience with Project Management.· Experience working with Microsoft Excel- Access- and/or SQL· Experience with performance metrics and process improvement· Demonstrated customer focus and experience releasing products and programs to market.,· MBA preferred· 3+ years of project management or consulting experience with top firm· Ability to present your ideas clearly to senior leaders and business partners and lead meetings with confidence.· Strong data analysis and problem solving.· Superior written and verbal communication skills· Experience leading remote teams· Ability to work with a wide cross-section of people in various locations.· Indirectly influence others to deliver.· Creative and ideas-driven in finding new solutions/ designing innovative methods- systems and processes.· Demonstrated history building business requirements and requests for proposal.· Experience working with Salesforce.com and Tableau,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/544011,Vendor Operations Analyst,Luxembourg City- Luxembourg,team-global-fulfillment-supply-chain,-Professional experience in Supply Chain environment with interaction with Business teams and Fulfillment Centers or Manufacturing plants.- Degree in engineering- operations research or other business/analytical disciplines- Deep knowledge of SQL. Analytical and data-driven decision making skills- Strong project management and organizational skills- experience working on complex initiatives with crossfunctional teams in a dynamic environment- Creative in finding new solutions / designing innovative methods- systems and processes- Sound business judgment- proven ability to influence others- and strong analytical thinking skills and attention to details are critical to success in this position- Fluent in English. & French.- Excellent communication skills- ability to simplify complex topics for broad audiencesMust be detail-oriented- self-motivated and strong sense of ownership for projects,Experience in physical logisticAnalytical or technical background will be appreciated.Resiliency is needed to succeedAbility to work cross functionally and in a very fast changing environment are requiredCreative and idea-driven in finding new solutions/designing innovative methods- systems and processes.Attention to detail- ability to do in-depth data mining- methodical approach to work.Problem solving- issue resolution skills and ability to manage multiple priorities.Business proficiency in any of German- Spanish- French- and/or Italian preferred,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/544005,Supply Chain Projects Internship (M/F),Luxembourg City- Luxembourg,,We want to hire the world’s brightest minds- and offer them an environment in which they can relentlessly improve the experience for our customers.· You are currently working towards a 3+ years university degree (or are a recent graduate - maximum 6 months since graduation) in Engineering- Mathematics- Business Administration or other quantitative areas or related fields.· Excellent analytical skills- preferably with advanced level in Excel.· Excellent written and verbal communication skills in English· You must have the right to work in the country you are applying for.· Problem solving mindset- proactive issue resolution skills and ability to manage multiple priorities.· You are able to demonstrate curiosity and pro-activity- which will allow you to gain greater autonomy in the course of the internship and make the most of your time with us to fully achieve your learning and development goals.· The personal drive and enthusiasm that makes you stand out from the crowd!,· Ability to work successfully in a fast-moving environment- to meet tight deadlines and prioritize workload even when faced with conflicting priorities.· Previous working knowledge of project management tools (Gantt charts- document sharing etc.) is a plus.· Previous work experience – a summer job- internship or fulltime role, if it’s an experience in a related field or business- even better.· Students enrolled or recently graduated from an MBA are also welcome to apply.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decision based on your experience and skills. We value your passion to discover- invent- simplify and build. We welcome applications from all members of society irrespective of age- sex- disability- sexual orientation- race- religion or belief.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies' world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.#EUInternHiring,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/543599,Senior Product Manager- EU FBA Business,Luxembourg City- Luxembourg,Fulfillment by Amazon - LU,· BS or BA in computer science- engineering- math- finance- or economics· 5+ years of product management or consulting experience in technology focused business· Team orientation and willingness to roll up sleeves to solve complex- dynamic challenges· Strong relationships building skills, experience managing stakeholders and partners to drive cross functional programs· Ability to provide architectural guidance and direction- strong judgment especially relevant in balancing long term strategic investments with near term business goals· Ability to communicate clearly and effectively with different functional groups- developers- business owners- and senior business leaders· Ability to collaborate with and effectively influence remote teams in multiple time zones· High degree of product ownership,· MBA from a leading business school· 5+ years of product management experience· Prior experience managing technical products or online services· Advanced Knowledge of SQL and VBA or willingness to learn· Entrepreneurial spirit- with track record for delivering results in fast-moving and demanding environments· History of developing business strategy in conjunction with senior leadership,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/543438,Sr. Busines Analyst- Supply Chain - FBA Europe,Luxembourg City- Luxembourg,Fulfillment by Amazon - LU,· 5+ years of hands-on industry experience in in business intelligence- data mining- predictive analytics and statistical analyses.· Excellent SQL- Excel- VBA- R and Python knowledge.· Record of delivering large analytical solutions with business impact.· High attention to detail and proven ability to manage multiple- competing priorities simultaneously.· Superior communication and analytical skills- including strong ability to identify and solve ambiguous problems and work well with cross functional teams.· Ability to use hard data and metrics to back up assumptions and clearly communicate data insights.· BS or MSc in Computer Science- Statistics- Operational Research- Economics- Mathematics or in a highly quantitative field,· Advanced Degree in Economics- Statistics- Econometrics- Mathematics or related quantitative field or MBA with a concentration in Quantitative Analysis.· Experienced working in a fast-paced- high-tech environment,,,,,,,,,,,,
https://www.amazon.jobs/en/jobs/542853,Operations Research/Modelling Internships 2017 M/F,Luxembourg City- Luxembourg,University tech internship,We want to hire the world’s brightest minds- and offer them an environment in which they can learn and help improve the experience for our customers.· You are currently working towards a 2+ years university degree in Statistics- Econometrics- Applied Mathematics- Computer Science- Operations Research or a closely related field.· Excellent written and verbal communication skills in English.· You must have the right to work in the country you are applying for. · You are able to use at least 2 statistical modeling/programming languages or toolboxes (R- SAS- SPSS- Matlab- Python Data Science Stack).· Some knowledge in writing scripts (Perl- Ruby) to manipulate data and developing software applications in traditional programming languages (C++- Java- Python).· Knowledge of supervised learning methods (linear and logistic regression- generalized linear models- decision trees- random forests- support vector machines- graphical models- neural networks- etc.) as well as unsupervised learning methods (K-means- hierarchical clustering- association rules- principal components- etc.)· Very strong self-learning skills. Ability to pick up and adapt modeling methods from other disciplines or leverage methods from other skilled colleagues in other departments in solving problems.· You are results-driven with analytical skills and the ability to innovate and simplify current processes and practices.· You should have strong decision making skills- that use sound reasoning and when required use consultation to achieve consensus.· The personal drive and enthusiasm that makes you stand out from the crowd!,· Experience with large-scale data processing platforms such as Apache Spark and Hadoop.· Knowledge Scala/ Spark or PySpark.· Experience in data mining- SQL- ETL- etc. and using databases in a business environment with large-scale- complex datasets.· Knowledge of business intelligence reporting tools (OBIEE- Business Objects- Cognos- Tableau- MicroStrategy).· Familiarity with supply chain management concepts - forecasting- planning- optimization- and logistics - gained through work experience or graduate level education· Ability to work successfully in an ambiguous environment- to meet tight deadlines and prioritize workload even when faced with conflicting priorities.· Previous work experience – a summer job- internship or full-time role, if it’s an experience in a similar field- even better!Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decision based on your experience and skills. We value your passion to discover- invent- simplify and build. We welcome applications from all members of society irrespective of age- sex- disability- sexual orientation- race- religion or belief.By submitting your resume and application information- you authorize Amazon to transmit and store your information in the Amazon group of companies' world-wide recruitment database- and to circulate that information as necessary for the purpose of evaluating your qualifications for this or other job vacancies.#EUInternHiring,,,,,,,,,,,
